score,hand_length,action,result,reward,p_hand_1,p_hand_2,p_hand_is_nbj,p_hand_is_busted,d_hand_1,d_hand_length,money
17,2,RETRY,unsettled,-5,19,37,False,False,43,1,7300
11,2,HIT,unsettled,0,19,16,False,False,43,1,7295
20,2,RETRY,unsettled,-5,24,23,False,False,30,1,7235
13,2,STAND,win,20,24,15,False,False,30,1,7230
9,2,HIT,unsettled,0,14,6,False,False,12,1,7210
14,3,DOUBLE DOWN,win,40,14,6,False,False,12,1,7210
13,2,HIT,unsettled,0,19,5,False,False,13,1,7250
16,2,RETRY,unsettled,-5,39,17,False,False,11,1,7130
7,2,DOUBLE DOWN,win,40,43,27,False,False,24,1,7115
17,2,STAND,win,20,51,6,False,False,19,1,7155
8,2,HIT,unsettled,0,5,14,False,False,27,1,7175
11,2,HIT,unsettled,0,14,8,False,False,30,1,7105
8,2,RETRY,unsettled,-5,1,44,False,False,47,1,7055
13,2,DOUBLE DOWN,win,40,1,13,False,False,47,1,7050
20,2,DOUBLE DOWN,win,40,38,10,False,False,41,1,7080
7,2,HIT,unsettled,0,2,16,False,False,8,1,7120
7,2,HIT,unsettled,0,4,40,False,False,33,1,7070
12,3,RETRY,unsettled,-5,4,40,False,False,33,1,7070
9,2,HIT,unsettled,0,31,2,False,False,16,1,7025
18,2,HIT,unsettled,0,6,26,False,False,49,1,7005
12,2,RETRY,unsettled,-5,17,6,False,False,7,1,6945
9,2,DOUBLE DOWN,win,40,43,42,False,False,17,1,6920
12,2,DOUBLE DOWN,draw,0,1,50,False,False,16,1,6960
4,2,RETRY,unsettled,-5,27,40,False,False,12,1,6890
20,2,STAND,win,20,22,9,False,False,50,1,6865
8,2,DOUBLE DOWN,draw,0,16,3,False,False,17,1,6885
12,2,STAND,win,20,26,0,False,False,38,1,6885
21,2,DOUBLE DOWN,win,40,26,23,True,False,36,1,6865
5,2,HIT,unsettled,0,14,2,False,False,31,1,6905
11,3,RETRY,unsettled,-5,14,2,False,False,31,1,6905
15,2,HIT,unsettled,0,29,39,False,False,11,1,6880
16,3,DOUBLE DOWN,win,40,29,39,False,False,11,1,6880
20,2,STAND,draw,0,26,8,False,False,36,1,6860
21,2,DOUBLE DOWN,win,40,25,13,True,False,35,1,6800
9,2,DOUBLE DOWN,win,40,5,28,False,False,43,1,6840
15,2,SURRENDER,surrendered,-10,38,17,False,False,36,1,6880
20,2,STAND,win,20,12,25,False,False,45,1,6850
21,2,HIT,unsettled,0,26,50,True,False,30,1,6830
19,2,HIT,unsettled,0,34,49,False,False,9,1,6790
9,2,DOUBLE DOWN,win,40,41,44,False,False,33,1,6780
13,2,RETRY,unsettled,-5,0,1,False,False,8,1,6820
11,2,HIT,unsettled,0,47,1,False,False,20,1,6795
12,3,HIT,unsettled,0,47,1,False,False,20,1,6795
20,2,STAND,win,20,25,22,False,False,35,1,6775
12,2,HIT,unsettled,0,27,37,False,False,35,1,6775
20,3,RETRY,unsettled,-5,27,37,False,False,35,1,6775
21,2,STAND,win,30,39,24,True,False,46,1,6730
19,2,STAND,win,20,11,8,False,False,18,1,6710
17,2,SURRENDER,surrendered,-10,13,44,False,False,11,1,6730
15,2,RETRY,unsettled,-5,43,23,False,False,33,1,6700
9,2,HIT,unsettled,0,43,42,False,False,33,1,6695
8,2,HIT,unsettled,0,16,3,False,False,17,1,6675
13,2,HIT,unsettled,0,17,7,False,False,28,1,6575
8,2,HIT,unsettled,0,14,5,False,False,0,1,6555
20,2,STAND,win,20,22,24,False,False,8,1,6515
17,2,RETRY,unsettled,-5,34,46,False,False,21,1,6495
16,2,STAND,win,20,18,37,False,False,44,1,6470
21,2,HIT,unsettled,0,37,13,True,False,8,1,6470
13,2,RETRY,unsettled,-5,27,39,False,False,34,1,6360
12,2,HIT,unsettled,0,27,48,False,False,34,1,6355
9,2,HIT,unsettled,0,17,3,False,False,21,1,6295
11,3,RETRY,unsettled,-5,17,3,False,False,21,1,6295
19,3,STAND,win,20,17,3,False,False,21,1,6290
15,2,HIT,unsettled,0,43,24,False,False,33,1,6310
21,3,STAND,win,20,43,24,False,False,33,1,6310
15,2,RETRY,unsettled,-5,43,24,False,False,49,1,6330
10,2,DOUBLE DOWN,win,40,43,30,False,False,49,1,6325
13,2,RETRY,unsettled,-5,1,13,False,False,10,1,6345
18,2,DOUBLE DOWN,draw,0,46,11,False,False,1,1,6290
20,2,STAND,draw,0,38,25,False,False,29,1,6290
18,2,STAND,win,20,11,7,False,False,10,1,6260
16,2,SURRENDER,surrendered,-10,31,37,False,False,16,1,6280
14,2,RETRY,unsettled,-5,18,33,False,False,28,1,6270
13,2,RETRY,unsettled,-5,18,32,False,False,28,1,6265
15,2,SURRENDER,surrendered,-10,18,47,False,False,28,1,6260
9,2,STAND,win,20,40,6,False,False,17,1,6250
21,2,HIT,unsettled,0,39,25,True,False,50,1,6270
9,2,RETRY,unsettled,-5,44,41,False,False,3,1,6250
16,2,STAND,win,20,44,50,False,False,3,1,6245
20,2,HIT,unsettled,0,8,0,False,False,44,1,6265
15,3,DOUBLE DOWN,win,40,8,0,False,False,44,1,6265
17,2,STAND,win,20,49,6,False,False,11,1,6305
15,2,RETRY,unsettled,-5,5,47,False,False,35,1,6285
17,2,HIT,unsettled,0,5,13,False,False,35,1,6280
12,2,RETRY,unsettled,-5,4,45,False,False,35,1,6260
8,2,RETRY,unsettled,-5,4,2,False,False,35,1,6255
17,2,HIT,unsettled,0,19,51,False,False,0,1,6230
13,2,RETRY,unsettled,-5,15,11,False,False,48,1,6120
16,2,RETRY,unsettled,-5,11,31,False,False,23,1,5995
17,2,HIT,unsettled,0,11,45,False,False,23,1,5990
15,2,RETRY,unsettled,-5,24,30,False,False,39,1,5950
18,2,RETRY,unsettled,-5,46,12,False,False,28,1,5865
16,2,SURRENDER,surrendered,-10,35,31,False,False,25,1,5840
7,2,RETRY,unsettled,-5,42,2,False,False,7,1,5810
17,2,RETRY,unsettled,-5,37,19,False,False,48,1,5785
17,2,RETRY,unsettled,-5,45,11,False,False,31,1,5760
7,2,HIT,unsettled,0,30,40,False,False,29,1,5745
6,2,HIT,unsettled,0,3,27,False,False,2,1,5705
10,2,DOUBLE DOWN,win,40,32,41,False,False,13,1,5665
13,2,STAND,win,20,2,35,False,False,24,1,5705
18,2,RETRY,unsettled,-5,32,13,False,False,9,1,5665
16,2,RETRY,unsettled,-5,32,8,False,False,9,1,5660
20,2,STAND,win,20,35,12,False,False,33,1,5555
20,2,HIT,unsettled,0,39,8,False,False,23,1,5545
20,3,STAND,win,20,39,8,False,False,23,1,5545
21,2,STAND,win,30,39,23,True,False,28,1,5565
14,2,STAND,win,20,50,16,False,False,50,1,5595
18,2,HIT,unsettled,0,26,32,False,False,18,1,5615
7,2,HIT,unsettled,0,3,28,False,False,49,1,5595
19,2,STAND,win,20,25,8,False,False,7,1,5575
15,2,HIT,unsettled,0,43,24,False,False,29,1,5575
18,2,RETRY,unsettled,-5,19,13,False,False,48,1,5555
13,2,RETRY,unsettled,-5,19,18,False,False,48,1,5550
10,2,HIT,unsettled,0,19,28,False,False,48,1,5545
6,2,STAND,win,20,29,14,False,False,18,1,5535
18,2,STAND,win,20,7,11,False,False,28,1,5555
19,2,STAND,win,20,33,39,False,False,27,1,5535
20,2,DOUBLE DOWN,win,40,23,50,False,False,19,1,5535
10,2,HIT,unsettled,0,32,41,False,False,46,1,5555
15,3,RETRY,unsettled,-5,32,41,False,False,46,1,5555
15,2,SURRENDER,surrendered,-10,4,36,False,False,19,1,5490
21,2,STAND,win,30,13,24,True,False,40,1,5430
18,2,RETRY,unsettled,-5,24,7,False,False,36,1,5380
17,2,DOUBLE DOWN,win,40,24,19,False,False,36,1,5375
10,2,RETRY,unsettled,-5,42,31,False,False,8,1,5355
16,2,RETRY,unsettled,-5,48,18,False,False,43,1,5290
